fr_name;us_name;fr_release_date;us_release_date;size;fr_logo_url;us_logo_url;symbol_url;fr_name_bloc
Duo de Choc;Team Up;;01/02/2019;181;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/sm_series/sm09/sm09_logo_169_fr.png;https://images.pokemontcg.io/sm9/logo.png;https://images.pokemontcg.io/sm9/symbol.png;Soleil et Lune
Tonnerre Perdu;Lost Thunder;;02/11/2018;214;https://www.pokecardex.com/assets/images/logos/SM08.png;https://images.pokemontcg.io/sm8/logo.png;https://images.pokemontcg.io/sm8/symbol.png;Soleil et Lune
Majesté des Dragons;Dragon Majesty;;07/09/2018;70;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/sm_series/sm075/sm075_logo_169_fr.png;https://images.pokemontcg.io/sm75/logo.png;https://images.pokemontcg.io/sm75/symbol.png;Soleil et Lune
Tempête Céleste;Celestial Storm;;03/08/2018;168;https://www.pokecardex.com/assets/images/logos/SM07.png;https://images.pokemontcg.io/sm7/logo.png;https://images.pokemontcg.io/sm7/symbol.png;Soleil et Lune
Lumière Interdite;Forbidden Light;;04/05/2018;131;https://www.pokecardex.com/assets/images/logos/SM06.png;https://images.pokemontcg.io/sm6/logo.png;https://images.pokemontcg.io/sm6/symbol.png;Soleil et Lune
Ultra Prisme;Ultra Prism;;02/02/2018;156;https://www.pokecardex.com/assets/images/logos/SM05.png;https://images.pokemontcg.io/sm5/logo.png;https://images.pokemontcg.io/sm5/symbol.png;Soleil et Lune
Invasion Carmin;Crimson Invasion;;03/11/2017;111;https://www.pokecardex.com/assets/images/logos/SM04.png;https://images.pokemontcg.io/sm4/logo.png;https://images.pokemontcg.io/sm4/symbol.png;Soleil et Lune
Légendes Brillantes;Shining Legends;;06/10/2017;72;https://www.pokecardex.com/assets/images/logos/SLE.png;https://images.pokemontcg.io/sm35/logo.png;https://images.pokemontcg.io/sm35/symbol.png;Soleil et Lune
Ombres Ardentes;Burning Shadows;;05/08/2017;147;https://www.pokecardex.com/assets/images/logos/SM03.png;https://images.pokemontcg.io/sm3/logo.png;https://images.pokemontcg.io/sm3/symbol.png;Soleil et Lune
Gardiens Ascendants;Guardians Rising;;05/05/2017;145;https://www.pokecardex.com/assets/images/logos/SM02.png;https://images.pokemontcg.io/sm2/logo.png;https://images.pokemontcg.io/sm2/symbol.png;Soleil et Lune
